sku;ean;old_oryginal_price;oryginal_url;new_sku;new_oryginal_url;new_ean;new_oryginal_price
HGS400536;4025648005367;67.8500;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-240-liter-blau-56-my-typ-70;HGS400536;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-240-liter-blau-56-my-typ-70;4025648005367;67.85
HGS12132-pap;4002911221327;52.8500;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-blau-extra-stark-und-extra-reissfest;HGS12132-pap;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-blau-extra-stark-und-extra-reissfest;4002911221327;52.85
HGSNB300;4017942009011;57.4200;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/unger-niftynabber-bagger-muellsammler-180-liter;HGSNB300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/unger-niftynabber-bagger-muellsammler-180-liter;4017942009011;57.42
HGS400296;4025648002960;68.1600;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-zugband-120-liter-blau-38-my-typ-60;HGS400296;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-zugband-120-liter-blau-38-my-typ-60;4025648002960;68.16
HGS99016;4001553990165;209.8800;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-standard-abfallsaecke-240-liter-transparent-80-my;HGS99016;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-standard-abfallsaecke-240-liter-transparent-80-my;4001553990165;209.88
HGS400348;4025648003486;65.8300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-42-my-typ-70;HGS400348;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-42-my-typ-70;4025648003486;65.83
HGS10052-pap;4002911016275;60.2100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-120-l-100-cm-x-70-cm-schwarz;HGS10052-pap;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-120-l-100-cm-x-70-cm-schwarz;4002911016275;60.21
HGS12435-pap;4002911224359;71.9000;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-hdpe-60-l-71-cm-x-64-cm-gelb;HGS12435-pap;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-hdpe-60-l-71-cm-x-64-cm-gelb;4002911224359;71.90
HGS400166;4025648001666;48.4300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-blau-34-my-typ-60;HGS400166;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-blau-34-my-typ-60;4025648001666;48.43
HGSBS-4060-10;9007730002398;196.9600;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bioabfallsack-40-60-liter-20-my;HGSBS-4060-10;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bioabfallsack-40-60-liter-20-my;9007730002398;196.96
HGS12133-pap;4002911221334;55.3100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-60-l-100-cm-x-57-cm-schwarz-extra-stark-und-extra-reissfest;HGS12133-pap;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-60-l-100-cm-x-57-cm-schwarz-extra-stark-und-extra-reissfest;4002911221334;55.31
HGS12330-pap;4002911223307;40.4800;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-60-l-85-cm-x-60-cm-blau;HGS12330-pap;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-60-l-85-cm-x-60-cm-blau;4002911223307;40.48
HGS401763;4025648017636;58.1900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-33-my-typ-60-gruen;HGS401763;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-33-my-typ-60-gruen;4025648017636;58.19
HGS401512;4025648015120;87.6400;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-61-my-typ-80;HGS401512;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-61-my-typ-80;4025648015120;87.64
HGS401718;4025648017186;62.0500;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-33-my-typ-60;HGS401718;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-33-my-typ-60;4025648017186;62.05
