id;sku;oryginal_url;new_sku;new_ean;new_oryginal_price;new_oryginal_url
104;HGS0860-221;https://www.hygiene-shop.com/abfalleimer-muelleimer/hailo-grossraum-abfallbox-big-box-swing-xl-52-liter-silber-grau;HGS0860-221;4007126640215;97.48;https://www.hygiene-shop.com/abfalleimer-muelleimer/hailo-grossraum-abfallbox-big-box-swing-xl-52-liter-silber-grau
106;HGS73182219;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-feuerfester-papierkorb-mit-aluminiumeinsatz-20-liter-offen-schwarz;HGS73182219;4012473182219;74.15;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-feuerfester-papierkorb-mit-aluminiumeinsatz-20-liter-offen-schwarz
108;HGS5650;https://www.hygiene-shop.com/abfalleimer-muelleimer/plastiqline-abfallbehaelter-43-liter-offen-pqa43-weiss;HGS5650;8717775685227;81.04;https://www.hygiene-shop.com/abfalleimer-muelleimer/plastiqline-abfallbehaelter-43-liter-offen-pqa43-weiss
109;HGS5676;https://www.hygiene-shop.com/abfalleimer-muelleimer/plastiqline-abfallbehaelter-43-liter-offen-pqa43-edelstahl-optik;HGS5676;8717775687863;109.52;https://www.hygiene-shop.com/abfalleimer-muelleimer/plastiqline-abfallbehaelter-43-liter-offen-pqa43-edelstahl-optik
110;HGS31650019;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-abfallbehaelter-mit-schleusenklappe-18-liter-weiss;HGS31650019;8713631650019;202.41;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-abfallbehaelter-mit-schleusenklappe-18-liter-weiss
111;HGS31650002;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-abfallbehaelter-mit-schleusenklappe-18-liter-edelstahl-matt-gebuerstet;HGS31650002;8713631650002;297.86;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-abfallbehaelter-mit-schleusenklappe-18-liter-edelstahl-matt-gebuerstet
112;HGS73181427;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-feuerfester-papierkorb-13-liter-offen-schwarz;HGS73181427;4012473181427;55.29;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-feuerfester-papierkorb-13-liter-offen-schwarz
114;HGS73090040;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-runder-papierkorb-18-liter-offen-schwarz;HGS73090040;4012473090040;31.69;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-runder-papierkorb-18-liter-offen-schwarz
115;HGS73090033;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-runder-papierkorb-18-liter-offen-grau;HGS73090033;4012473090033;31.69;https://www.hygiene-shop.com/abfalleimer-muelleimer/vepa-bins-runder-papierkorb-18-liter-offen-grau
118;HGS11063;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-65-liter-offen-pp1065-weiss;HGS11063;8435265810347;290.63;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-65-liter-offen-pp1065-weiss
119;HGS11064;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-65-liter-offen-pp1065-edelstahl-hochglanz-poliert;HGS11064;8435265810354;347.33;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-65-liter-offen-pp1065-edelstahl-hochglanz-poliert
120;HGS11065;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-65-liter-offen-pp1065-edelstahl-matt-gebuerstet;HGS11065;8435265810361;347.33;https://www.hygiene-shop.com/abfalleimer-muelleimer/mediclinics-edelstahl-abfallbehaelter-65-liter-offen-pp1065-edelstahl-matt-gebuerstet
121;HGS31017799;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-20-liter-edelstahl-matt-gebuerstet;HGS31017799;8713631017799;53.44;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-20-liter-edelstahl-matt-gebuerstet
123;HGS31017775;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-20-liter-schwarz;HGS31017775;8713631017775;53.51;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-20-liter-schwarz
124;HGS31017782;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-20-liter-edelstahl-hochglanz-poliert;HGS31017782;8713631017782;53.51;https://www.hygiene-shop.com/abfalleimer-muelleimer/v-part-tretabfalleimer-20-liter-edelstahl-hochglanz-poliert
125;HGS118492;https://www.hygiene-shop.com/abfalleimer-muelleimer/racon-ce-hidden-abfalleimer-23-liter-offen-braun;HGS118492;4029068118492;60.96;https://www.hygiene-shop.com/abfalleimer-muelleimer/racon-ce-hidden-abfalleimer-23-liter-offen-braun
129;HGS118515;https://www.hygiene-shop.com/abfalleimer-muelleimer/racon-ce-hidden-abfalleimer-23-liter-offen-hellblau;HGS118515;4029068118515;60.98;https://www.hygiene-shop.com/abfalleimer-muelleimer/racon-ce-hidden-abfalleimer-23-liter-offen-hellblau
